year,month,title,writer,rank,split_writer,nouns
2003,11,마녀 위니,"코키 폴 (지은이), 밸러리 토머스 (글), 김중철  (옮긴이) |",18,"[('코키 폴 ', '지은이'), (', 밸러리 토머스 ', '글'), (', 김중철  ', '옮긴이')]","['마녀', '위니']"
2003,11,악역을 맡은 자의 슬픔,홍세화  (지은이) |,19,"[('홍세화  ', '지은이')]",['악역을 맡은 자의 슬픔']
2003,11,손 큰 할머니의 만두 만들기,"채인선 (지은이), 이억배  (그림) |",20,"[('채인선 ', '지은이'), (', 이억배  ', '그림')]","['손', '할머니', '만두']"
2003,11,아들과 함께한 특별한 여행,김세걸 (지은이) | 어진소리 (민미디어) |,21,"[('김세걸 ', '지은이'), (' | 어진소리 ', '민미디어')]","['아들', '여행']"
2003,11,가방 들어주는 아이,"고정욱 (지은이), 백남원  (그림) |",22,"[('고정욱 ', '지은이'), (', 백남원  ', '그림')]","['가방', '아이']"
2003,11,수학 귀신,"한스 마그누스 엔첸스베르거 (지은이), 고영아  (옮긴이) |",23,"[('한스 마그누스 엔첸스베르거 ', '지은이'), (', 고영아  ', '옮긴이')]",['수학 귀신']
2003,11,내 영혼이 따뜻했던 날들,"포리스트 카터 (지은이), 조경숙  (옮긴이) |",24,"[('포리스트 카터 ', '지은이'), (', 조경숙  ', '옮긴이')]","['영혼', '날']"
2003,11,2막,"스테판 M. 폴란 (지은이), 조영희  (옮긴이) |",25,"[('스테판 M. 폴란 ', '지은이'), (', 조영희  ', '옮긴이')]",['막']
2003,11,어린 왕자,"앙투안 드 생텍쥐페리 (지은이), 박성창  (옮긴이) |",26,"[('앙투안 드 생텍쥐페리 ', '지은이'), (', 박성창  ', '옮긴이')]",['어린 왕자']
2003,11,아침형 인간으로 변신하라,"다카이 노부오 (지은이), 은미경  (옮긴이) |",27,"[('다카이 노부오 ', '지은이'), (', 은미경  ', '옮긴이')]","['아침형 인간', '변신']"
2003,11,토마토 : 토익점수 마구 올려주는 토익 Listening - 테이프 6개 (책 별매),오혜정  (지은이) |,28,"[('오혜정  ', '지은이')]","['토마토', '토익', '점수', '토익', '테이프', '책', '별', '매']"
2003,11,세밀화로 그린 보리 아기그림책 1 - 전3권,"이태수 (지은이), 보리 편집부  (엮은이) |",29,"[('이태수 ', '지은이'), (', 보리 편집부  ', '엮은이')]","['세밀화', '보리', '아기', '그림책']"
2003,11,해커스 리딩 (Hackers Reading),David Cho  (지은이) |,30,"[('David Cho  ', '지은이')]","['해커스', '리딩']"
2003,11,삐뽀삐뽀 119 소아과 (개정11판),하정훈  (지은이) |,31,"[('하정훈  ', '지은이')]","['소아과', '개정']"
2003,11,"나, 스트레스 받았어!","미셸린느 먼디 (지은이), R. W. 앨리 (그림), 노은정  (옮긴이) |",32,"[('미셸린느 먼디 ', '지은이'), (', R. W. 앨리 ', '그림'), (', 노은정  ', '옮긴이')]",['스트레스']
2003,11,연애의 시대,권보드래  (지은이) |,33,"[('권보드래  ', '지은이')]","['연애', '시대']"
2003,11,누구 그림자일까?,최숙희  (지은이) |,34,"[('최숙희  ', '지은이')]",['그림자']
